weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,obsolete_false,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,obsolete2_false,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments,
pistol_standard,pistol_standard_upgraded,,50,pistol,,0,,,FALSE,FALSE,TRUE,0,,FALSE,FALSE,pistol,TRUE,,,
bouncingbetty,,,1000,betty,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,,
cymbal_monkey,,,2000,monkey,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,,
frag_grenade,,,250,grenade,,250,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,,
knife,,,0,,,0,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,,
bowie_knife,,,3000,wpck_bowie,,,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,,
ray_gun,ray_gun_upgraded,,10000,wpck_ray,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,TRUE,,
tesla_gun,tesla_gun_upgraded,,10000,tesla,,,,,FALSE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,,
ar_accurate,ar_accurate_upgraded,,1500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_cqb,ar_cqb_upgraded,,1600,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_damage,ar_damage_upgraded,,5000,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_longburst,ar_longburst_upgraded,,1500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_marksman,ar_marksman_upgraded,,500,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
ar_standard,ar_standard_upgraded,,1400,rifle,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,,
lmg_cqb,lmg_cqb_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,,
lmg_heavy,lmg_heavy_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,,
lmg_light,lmg_light_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,,
lmg_slowfire,lmg_slowfire_upgraded,,5000,lmg,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,,
